field,base_field,elasticsearch_type,category,human_name_en,meaning_en,unit_or_value_hint,preferred_esql_field,agent_notes,confidence
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingMulighed,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingMulighed,boolean,Basic vehicle information,Coupling/towing capability flag,Boolean indicating whether the vehicle has a coupling/towing device/capability.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkoblingMulighed,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAksler,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAksler,long,Basic vehicle information,Number of driven/pulling axles,Number of axles that drive/pull the vehicle.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAksler,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerListe,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerListe,long,Basic vehicle information,Driven/pulling axle list,List or encoded value of driven/pulling axles.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerListe,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerRaw,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerRaw,text,Basic vehicle information,Raw driven/pulling axles value,"Raw, unparsed source value for driven/pulling axles.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerRaw.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerRaw.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerRaw.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerRaw,keyword,Basic vehicle information,Raw driven/pulling axles value (keyword),"Keyword/exact-match representation of raw driven/pulling axles value. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTraekkendeAkslerRaw.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTrafikskade,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTrafikskade,boolean,Basic vehicle information,Vehicle Trafikskade,Boolean flag for basic vehicle information.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTrafikskade,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeAnmeldelseNummer,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeAnmeldelseNummer,text,Basic vehicle information,Type notification number,Type notification/report number related to approval/registration workflows.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeAnmeldelseNummer.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeAnmeldelseNummer.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeAnmeldelseNummer.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeAnmeldelseNummer,keyword,Basic vehicle information,Type notification number (keyword),"Keyword/exact-match representation of type notification number. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeAnmeldelseNummer.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeGodkendelseNummer,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeGodkendelseNummer,text,Basic vehicle information,Type approval number,Type approval number used for approved vehicle types/variants.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeGodkendelseNummer.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeGodkendelseNummer.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeGodkendelseNummer.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeGodkendelseNummer,keyword,Basic vehicle information,Type approval number (keyword),"Keyword/exact-match representation of type approval number. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypeGodkendelseNummer.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypegodkendtKategori,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypegodkendtKategori,text,Basic vehicle information,Type-approved category,EU/type-approval vehicle category.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypegodkendtKategori.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypegodkendtKategori.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypegodkendtKategori.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypegodkendtKategori,keyword,Basic vehicle information,Type-approved category (keyword),"Keyword/exact-match representation of type-approved category. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTypegodkendtKategori.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningVVaerdiLuft,KoeretoejOplysningGrundStruktur.KoeretoejOplysningVVaerdiLuft,float,Basic vehicle information,"V-value, air brake/coupling",Technical V-value for air/mechanical coupling/braking calculations. Mostly relevant for trailers/heavy combinations; verify exact interpretation before public reporting.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningVVaerdiLuft,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningVVaerdiMekanisk,KoeretoejOplysningGrundStruktur.KoeretoejOplysningVVaerdiMekanisk,float,Basic vehicle information,"V-value, mechanical coupling",Technical V-value for mechanical coupling/braking calculations. Mostly relevant for trailers/heavy combinations; verify exact interpretation before public reporting.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningVVaerdiMekanisk,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningVeteranKoeretoejOriginal,KoeretoejOplysningGrundStruktur.KoeretoejOplysningVeteranKoeretoejOriginal,boolean,Basic vehicle information,Original veteran vehicle flag,Boolean indicating whether the vehicle is registered as an original veteran/historic vehicle.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejOplysningVeteranKoeretoejOriginal,,inferred
KoeretoejIdent,KoeretoejIdent,long,Vehicle identity,Vehicle ID,"Unique DMR vehicle identifier. Treat as an identifier, not a measure.",,KoeretoejIdent,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummer,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummer,text,Vehicle identity,VIN / chassis number,Vehicle Identification Number/chassis number. Sensitive identifier; avoid exposing raw values in public dashboards.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummer.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummer.keyword`. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummer.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummer,keyword,Vehicle identity,VIN / chassis number (keyword),"Keyword/exact-match representation of vin / chassis number. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummer.keyword,Use for terms/grouping/exact matching. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummerAnbringelse,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummerAnbringelse,text,Vehicle identity,VIN placement,Description of where the VIN/chassis number is physically placed on the vehicle.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummerAnbringelse.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummerAnbringelse.keyword`. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummerAnbringelse.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummerAnbringelse,keyword,Vehicle identity,VIN placement (keyword),"Keyword/exact-match representation of vin placement. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStelNummerAnbringelse.keyword,Use for terms/grouping/exact matching. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,inferred
KoeretoejRegistreringStatus,KoeretoejRegistreringStatus,text,Registration and licence plate,Registration status,"Current or historical registration status of the vehicle, for example registered or deregistered.",,KoeretoejRegistreringStatus.keyword,For exact matching use `KoeretoejRegistreringStatus.keyword`.,official/inferred
KoeretoejRegistreringStatus.keyword,KoeretoejRegistreringStatus,keyword,Registration and licence plate,Registration status (keyword),"Keyword/exact-match representation of registration status. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejRegistreringStatus.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejRegistreringStatusDato,KoeretoejRegistreringStatusDato,date,Registration and licence plate,Registration status date,Date when the registration status was set or changed.,date,KoeretoejRegistreringStatusDato,,official/inferred
RegistreringNummerNummer,RegistreringNummerNummer,text,Registration and licence plate,Registration number / licence plate,The vehicle registration number/licence plate number.,,RegistreringNummerNummer.keyword,For exact matching use `RegistreringNummerNummer.keyword`. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
RegistreringNummerNummer.keyword,RegistreringNummerNummer,keyword,Registration and licence plate,Registration number / licence plate (keyword),"Keyword/exact-match representation of registration number / licence plate. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,RegistreringNummerNummer.keyword,Use for terms/grouping/exact matching. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
RegistreringNummerRettighedGyldigFra,RegistreringNummerRettighedGyldigFra,text,Registration and licence plate,Registration number right valid from,Start date for the entitlement/right to use a registration number/licence plate.,,RegistreringNummerRettighedGyldigFra.keyword,For exact matching use `RegistreringNummerRettighedGyldigFra.keyword`. Mapped as text/keyword; parse/cast carefully before date math.,inferred
RegistreringNummerRettighedGyldigFra.keyword,RegistreringNummerRettighedGyldigFra,keyword,Registration and licence plate,Registration number right valid from (keyword),"Keyword/exact-match representation of registration number right valid from. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,RegistreringNummerRettighedGyldigFra.keyword,Use for terms/grouping/exact matching. Mapped as text/keyword; parse/cast carefully before date math.,inferred
RegistreringNummerRettighedGyldigTil,RegistreringNummerRettighedGyldigTil,text,Registration and licence plate,Registration number right valid to,End date for the entitlement/right to use a registration number/licence plate.,,RegistreringNummerRettighedGyldigTil.keyword,For exact matching use `RegistreringNummerRettighedGyldigTil.keyword`. Mapped as text/keyword; parse/cast carefully before date math.,inferred
RegistreringNummerRettighedGyldigTil.keyword,RegistreringNummerRettighedGyldigTil,keyword,Registration and licence plate,Registration number right valid to (keyword),"Keyword/exact-match representation of registration number right valid to. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,RegistreringNummerRettighedGyldigTil.keyword,Use for terms/grouping/exact matching. Mapped as text/keyword; parse/cast carefully before date math.,inferred
RegistreringNummerUdloebDato,RegistreringNummerUdloebDato,date,Registration and licence plate,Registration number expiry date,Expiry date for a registration number/licence plate right or validity period.,date,RegistreringNummerUdloebDato,,inferred
KoeretoejArtNavn,KoeretoejArtNavn,text,"Vehicle make, model, type and category",Vehicle category name,"Human-readable Danish vehicle category, for example Personbil, Varebil, Lastbil, Motorcykel, Påhængsvogn, etc.",,KoeretoejArtNavn.keyword,For exact matching use `KoeretoejArtNavn.keyword`.,official/inferred
KoeretoejArtNavn.keyword,KoeretoejArtNavn,keyword,"Vehicle make, model, type and category",Vehicle category name (keyword),"Keyword/exact-match representation of vehicle category name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejArtNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejArtNummer,KoeretoejArtNummer,long,"Vehicle make, model, type and category",Vehicle category code,Numeric code for the vehicle category.,,KoeretoejArtNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur,object,"Vehicle make, model, type and category",Vehicle Betegnelse Structure,"Container object for vehicle make, model, type and category fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNavn,text,"Vehicle make, model, type and category",Vehicle make/brand,"Vehicle make/brand name, for example Toyota, Ford, Volkswagen, Tesla.",,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNavn.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNavn,keyword,"Vehicle make, model, type and category",Vehicle make/brand (keyword),"Keyword/exact-match representation of vehicle make/brand. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNummer,long,"Vehicle make, model, type and category",Vehicle make/brand code,Numeric code for vehicle make/brand.,,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.KoeretoejMaerkeTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model,object,"Vehicle make, model, type and category",Model,"Container object for vehicle make, model, type and category fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNavn,text,"Vehicle make, model, type and category",Vehicle Model Type Name,"Analyzed text field for vehicle make, model, type and category. Prefer the `.keyword` subfield for exact filters and aggregations if it exists.",,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNavn.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNavn,keyword,"Vehicle make, model, type and category",Vehicle Model Type Name (keyword),"Keyword/exact-match representation of vehicle model type name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNavn.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNummer,long,"Vehicle make, model, type and category",Vehicle Model Type Number,"Numeric identifier/code for vehicle make, model, type and category. Treat as a category/code, not as a continuous measure.",,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Model.KoeretoejModelTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type,object,"Vehicle make, model, type and category",Type,"Container object for vehicle make, model, type and category fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNavn,text,"Vehicle make, model, type and category",Vehicle type name,Human-readable type designation within make/model hierarchy.,,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNavn.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNavn,keyword,"Vehicle make, model, type and category",Vehicle type name (keyword),"Keyword/exact-match representation of vehicle type name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNummer,long,"Vehicle make, model, type and category",Vehicle type code,Numeric code for the vehicle type designation.,,KoeretoejOplysningGrundStruktur.KoeretoejBetegnelseStruktur.Type.KoeretoejTypeTypeNummer,"Numeric code, not a metric.",inferred
